INCUMBENT,STATUS,ELECTIONCODE,ELECTIONDATE,STATEABBR,LEVEL,CHAMBER,DISTRICT,RACE,ETHNICITY,GENDER,PARTY,screen_name,name
Y,Running,P,2022-05-24,AL,FL,FH,1.0,US Representative,White/Caucasian,Male,R,carlforalabama,Jerry L. Carl
,Withdrew From Race,P,2022-05-24,AL,FL,FH,2.0,US Representative,,Male,D,slate4congress,Jack Slate
,Withdrew From Race,P,2022-05-24,AL,FL,FH,2.0,US Representative,,Male,D,terellanderson,Reginald Terell Anderson
,Running,P,2022-05-24,AL,FL,FH,2.0,US Representative,Black/African American,Female,D,phyllisdhhall,Phyllis Harvey-Hall
Y,Running,P,2022-05-24,AL,FL,FH,2.0,US Representative,White/Caucasian,Male,R,repbarrymoore,Barry Moore
Y,Running,P,2022-05-24,AL,FL,FH,3.0,US Representative,White/Caucasian,Male,R,mikerogerscamp,Mike Rogers
,Running,P,2022-05-24,AL,FL,FH,4.0,US Representative,White/Caucasian,Male,D,voteneighbors,Ricky A. Neighbors
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,,Female,D,kathy_congress,Kathy L. Warner-Stanton
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,,Male,D,charlietruth,Charles W. Thompson
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,White/Caucasian,Male,R,johnrobertsal,John Roberts
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,White/Caucasian,Male,R,blalockfor,Andrew Blalock
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,White/Caucasian,Male,R,madcochairman,Dale W. Strong
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,White/Caucasian,Male,R,friendsofcasey,Casey Wardynski
,Running,P,2022-05-24,AL,FL,FH,5.0,US Representative,White/Caucasian,Male,R,paulsanfordal05,Paul L. Sanford
Y,Running,P,2022-05-24,AL,FL,FH,6.0,US Representative,White/Caucasian,Male,R,palmer4alabama,Gary Palmer
,Running,P,2022-05-24,AL,FL,FH,7.0,US Representative,,Female,R,nicholscongress,Beatrice Jackson Nichols
Y,Running,P,2022-05-24,AL,FL,FH,7.0,US Representative,Black/African American,Female,D,sewell4congress,Terri Sewell
,Running,P,2022-05-24,AL,FL,FS,,US Senator,,Male,R,mikedurantal,Michael Durant
,Running,P,2022-05-24,AL,FL,FS,,US Senator,,Male,R,thebluesquire,Jacob M. Schafer
,Running,P,2022-05-24,AL,FL,FS,,US Senator,Black/African American,Male,D,brandaundean,Brandaun L. Dean
,Withdrew From Race,P,2022-05-24,AL,FL,FS,,US Senator,White/Caucasian,Female,R,blanchard4sen,Lynda Blanchard
,Running,P,2022-05-24,AL,FL,FS,,US Senator,White/Caucasian,Female,R,katiebrittforal,Katie Britt
,Running,P,2022-05-24,AL,FL,FS,,US Senator,Black/African American,Male,D,willboydforal,Will Eugene Boyd
,Running,P,2022-05-24,AL,FL,FS,,US Senator,White/Caucasian,Male,R,mobrooks,Mo Brooks
,Withdrew From Race,P,2022-05-24,AL,FL,FS,,US Senator,White/Caucasian,Female,R,jessicatayloral,Jessica Taylor
,Running,P,2022-08-16,AK,FL,FH,1.0,US Representative,White/Caucasian,Male,R,nbegich,Nicholas Begich
,Running,P,2022-08-16,AK,FL,FH,1.0,US Representative,White/Caucasian,Male,R,shannon_rep,Shannon S. Evans
,Running,P,2022-08-16,AK,FL,FH,1.0,US Representative,Black/African American,Male,R,rpurham,Randy Purham
Y,Running,P,2022-08-16,AK,FL,FH,1.0,US Representative,White/Caucasian,Male,R,donyoungak,Don Young
,Running,P,2022-08-16,AK,FL,FS,,US Senator,,Male,R,speights_karl,Karl W. Speights
,Running,P,2022-08-16,AK,FL,FS,,US Senator,White/Caucasian,Female,R,kellyforalaska,Kelly Tshibaka
Y,Running,P,2022-08-16,AK,FL,FS,,US Senator,White/Caucasian,Female,R,lisamurkowski,Lisa Murkowski
,Running,P,2022-08-02,AZ,FL,FH,1.0,US Representative,,Male,R,elicraneaz,Eli Crane
,Running,P,2022-08-02,AZ,FL,FH,1.0,US Representative,White/Caucasian,Male,R,moore4az,John W. Moore
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,1.0,US Representative,White/Caucasian,Male,R,barnettforaz,Josh Barnett
,Running,P,2022-08-02,AZ,FL,FH,1.0,US Representative,Black/African American,Male,R,blackman1walter,Walter Blackman
Y,Running,P,2022-08-02,AZ,FL,FH,1.0,US Representative,White/Caucasian,Male,D,tomohalleran,Tom O'Halleran
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,,Male,R,deluzio4az02,Mark DeLuzio
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,,Male,R,lowell4congress,Douglas Lowell
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,Hispanic/Latino,Male,D,urrea4congress,Marcos J. Urrea
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,White/Caucasian,Male,R,pathforfreedom,Brandon R. Martin
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,Hispanic/Latino,Male,D,danielforaz,Daniel Hernandez
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,White/Caucasian,Female,D,engelforarizona,Kirsten Engel
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,2.0,US Representative,White/Caucasian,Male,D,drrandyfriese,Randall Friese
,Running,P,2022-08-02,AZ,FL,FH,2.0,US Representative,Hispanic/Latino,Male,R,juanciscomani,Juan Ciscomani
,Withdrew From Race,P,2022-08-02,AZ,FL,FH,3.0,US Representative,,Male,R,joshforarizona,Joshua Logsdon
