name,PARTY,handle,STATEABBR,RACE,DISTRICT,ELECTIONDATE,VOTE_SHARE,NOTES,NONPARTISAN_PRIMARY,DISTRICT_CORR,STATE_CORR,RUNOFF_PERC,RANKED_CHOICE_VOTING,COMPLETE
Jerry L. Carl,R,carlforalabama,AL,US Representative,1,24/05/2022,,C,,,,,,Y
Jack Slate,D,,AL,US Representative,2,24/05/2022,,WD,,,,,,Y
Reginald Terell Anderson,D,terellanderson,AL,US Representative,2,24/05/2022,,WD,,,,,,Y
Phyllis Harvey-Hall,D,phyllisdhhall,AL,US Representative,2,24/05/2022,68.8,,,,,,,Y
Barry Moore,R,repbarrymoore,AL,US Representative,2,24/05/2022,,C,,,,,,Y
Mike Rogers,R,mikerogerscamp,AL,US Representative,3,24/05/2022,82.6,,,,,,,Y
Ricky A. Neighbors,D,voteneighbors,AL,US Representative,4,24/05/2022,54.1,,,,,,,Y
Kathy L. Warner-Stanton,D,kathy_congress,AL,US Representative,5,24/05/2022,57.2,,,,,,,Y
Charles W. Thompson,D,,AL,US Representative,5,24/05/2022,42.8,,,,,,,Y
John Roberts,R,johnrobertsal,AL,US Representative,5,24/05/2022,13.8,,,,,,,Y
Andrew Blalock,R,blalockfor,AL,US Representative,5,24/05/2022,5.5,,,,,,,Y
Dale W. Strong,R,,AL,US Representative,5,24/05/2022,44.7,,,,,62.8,,Y
Casey Wardynski,R,friendsofcasey,AL,US Representative,5,24/05/2022,23,,,,,37.2,,Y
Paul L. Sanford,R,paulsanfordal05,AL,US Representative,5,24/05/2022,11.4,,,,,,,Y
Gary Palmer,R,palmer4alabama,AL,US Representative,6,24/05/2022,,C,,,,,,Y
Beatrice Jackson Nichols,R,nicholscongress,AL,US Representative,7,24/05/2022,,C,,,,,,Y
Terri Sewell,D,sewell4congress,AL,US Representative,7,24/05/2022,,C,,,,,,Y
Michael Durant,R,,AL,US Senator,,24/05/2022,23.3,,,,,,,Y
Jacob M. Schafer,R,thebluesquire,AL,US Senator,,24/05/2022,1.2,,,,,,,Y
Brandaun L. Dean,D,brandaundean,AL,US Senator,,24/05/2022,19.5,,,,,,,Y
Lynda Blanchard,R,,AL,US Senator,,24/05/2022,,WD,,,,,,Y
Katie Britt,R,katiebrittforal,AL,US Senator,,24/05/2022,45.2,,,,,,,Y
Will Eugene Boyd,D,willboydforal,AL,US Senator,,24/05/2022,63.7,,,,,,,Y
Mo Brooks,R,mobrooks,AL,US Senator,,24/05/2022,28.6,,,,,,,Y
Jessica Taylor,R,jessicatayloral,AL,US Senator,,24/05/2022,,WD,,,,,,Y
Nicholas Begich,R,nbegich,AK,US Representative,1,16/08/2022,26.2,,1,,,,,Y
Shannon S. Evans,R,shannon_rep,AK,US Representative,1,16/08/2022,,WD,,,,,,Y
Randy Purham,R,rpurham,AK,US Representative,1,16/08/2022,0.2,,1,,,,,Y
Don Young,R,donyoungak,AK,US Representative,1,16/08/2022,,WD,,,,,,Y
Karl W. Speights,R,speights_karl,AK,US Senator,,16/08/2022,0.3,,1,,,,,Y
Kelly Tshibaka,R,kellyforalaska,AK,US Senator,,16/08/2022,38.6,,1,,,,,Y
Lisa Murkowski,R,lisamurkowski,AK,US Senator,,16/08/2022,45,,1,,,,,Y
Eli Crane,R,elicraneaz,AZ,US Representative,1,02/08/2022,33.9,,,2,,,,Y
John W. Moore,R,,AZ,US Representative,1,02/08/2022,7.3,,,2,,,,Y
Josh Barnett,R,barnettforaz,AZ,US Representative,1,02/08/2022,23.2,,,,,,,Y
Walter Blackman,R,,AZ,US Representative,1,02/08/2022,24.2,,,2,,,,Y
Tom O'Halleran,D,,AZ,US Representative,1,02/08/2022,100,,,2,,,,Y
Mark DeLuzio,R,deluzio4az02,AZ,US Representative,2,02/08/2022,17.9,,,,,,,Y
Douglas Lowell,R,,AZ,US Representative,2,02/08/2022,,NL,,,,,,Y
Marcos J. Urrea,D,,AZ,US Representative,2,02/08/2022,,WD,,6,,,,Y
Brandon R. Martin,R,pathforfreedom,AZ,US Representative,2,02/08/2022,,NL,,,,,,Y
Daniel Hernandez,D,danielforaz,AZ,US Representative,2,02/08/2022,34.4,,,6,,,,Y
Kirsten Engel,D,engelforarizona,AZ,US Representative,2,02/08/2022,49.2,,,6,,,,Y
Randall Friese,D,,AZ,US Representative,2,02/08/2022,,WD,,,,,,Y
Juan Ciscomani,R,juanciscomani,AZ,US Representative,2,02/08/2022,50.7,,,6,,,,Y
Joshua Logsdon,R,,AZ,US Representative,3,02/08/2022,,WD,,,,,,Y
Raul M. Grijalva,D,standwithraul,AZ,US Representative,7,02/08/2022,100,,,,,,,Y
Kelly Cooper,R,kellycooperaz,AZ,US Representative,4,02/08/2022,28.4,,,,,,,Y
Brandon DeHart,R,,AZ,US Representative,4,02/08/2022,,WD,,,,,,Y
Judy Stahl,D,stahl4congress,AZ,US Representative,4,02/08/2022,,WD,,,,,,Y
Benjamin Larivee,D,,AZ,US Representative,5,02/08/2022,,WD,,,,,,Y
