random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
2,0.002,0.002,0.002,0.8255784458555385,0.14351350859881032,0.06029297773216736,0.05,0.002526231453446575,0.011919028172987234
7,0.002,0.002,0.002,0.7831255510989242,0.10876865105065596,0.16395890486920994,0.05,0.002526231453446575,0.011919028172987234
8,0.002,0.002,0.002,0.48696591816294477,0.032836098693801455,0.032898940003002704,0.05,0.002526231453446575,0.011919028172987234
3,0.002,0.002,0.002,0.5900978092199574,0.24737621350138284,0.14645326364191052,0.05,0.002526231453446575,0.011919028172987234
4,0.002,0.002,0.002,0.08844272500480146,0.07322222718184712,0.0009941405269744687,0.05,0.002526231453446575,0.011919028172987234
6,0.002,0.002,0.002,0.5376533135728117,0.1393081728671564,0.12620588671124974,0.05,0.002526231453446575,0.011919028172987234
5,0.002,0.002,0.002,0.8702935088058552,0.8507949278947625,0.7679502958760583,0.05,0.002526231453446575,0.011919028172987234
1,0.002,0.002,0.002,0.14806703824728812,0.2814866509938193,0.005171208186328072,0.05,0.002526231453446575,0.011919028172987234
9,0.002,0.002,0.002,0.8473657500306395,0.0499114960280674,0.24853728464251812,0.05,0.002526231453446575,0.011919028172987234
0,0.002,0.002,0.002,0.29962788367885185,0.052541866599375334,0.13577560518217313,0.05,0.002526231453446575,0.011919028172987234
10,0.002,0.002,0.002,0.03939154397951769,0.6725674092428238,0.9874155336836214,0.05,0.002526231453446575,0.011919028172987234
11,0.002,0.002,0.002,0.05200654527601764,0.6867899511817381,0.7272404470119709,0.05,0.002526231453446575,0.011919028172987234
13,0.002,0.002,0.002,0.0019607671002128237,0.34382360659277855,0.13093427237223748,0.05,0.002526231453446575,0.011919028172987234
12,0.002,0.002,0.002,0.029004399070509477,0.743602179555948,0.8254367220427055,0.05,0.002526231453446575,0.011919028172987234
17,0.002,0.002,0.002,0.06547775869364274,0.6184372762199486,0.9447170917473721,0.05,0.002526231453446575,0.011919028172987234
15,0.002,0.002,0.002,0.0018145303665217168,0.9332664907785186,0.2775231787225102,0.05,0.002526231453446575,0.011919028172987234
14,0.002,0.002,0.002,0.14185838096920558,0.7238636711917975,0.7990170930895845,0.05,0.002526231453446575,0.011919028172987234
18,0.002,0.002,0.002,0.12099220365527336,0.9990411181059664,0.9515477430660589,0.05,0.002526231453446575,0.011919028172987234
16,0.002,0.002,0.002,0.0744939354685305,0.9382134959631471,0.8073556764863447,0.05,0.002526231453446575,0.011919028172987234
19,0.002,0.002,0.002,0.04096589871621003,0.8544039626537732,0.7206184652920948,0.05,0.002526231453446575,0.011919028172987234
21,0.002,0.002,0.002,0.714772535033843,0.3648464397035637,0.08746537481400833,0.05,0.002526231453446575,0.011919028172987234
23,0.002,0.002,0.002,0.5506338789491643,0.6308350500219835,0.009226861256340353,0.05,0.002526231453446575,0.011919028172987234
20,0.002,0.002,0.002,0.35582266332566637,0.16762943911789185,0.019598148609662264,0.05,0.002526231453446575,0.011919028172987234
25,0.002,0.002,0.002,0.36372695887354467,0.5809325237563234,0.028607923154614214,0.05,0.002526231453446575,0.011919028172987234
22,0.002,0.002,0.002,0.47827936303609,0.37168889526296145,0.0608628956044363,0.05,0.002526231453446575,0.011919028172987234
24,0.002,0.002,0.002,0.6171415888427133,0.3981994002215,0.14816569664709786,0.05,0.002526231453446575,0.011919028172987234
26,0.002,0.002,0.002,0.3096025710807567,0.05412497611541668,0.04515087779009945,0.05,0.002526231453446575,0.011919028172987234
27,0.002,0.002,0.002,0.526737888786531,0.35341346524338957,0.163549512555606,0.05,0.002526231453446575,0.011919028172987234
29,0.002,0.002,0.002,0.20613516076897787,0.6251125276602574,0.002284824573546183,0.05,0.002526231453446575,0.011919028172987234
28,0.002,0.002,0.002,0.3691180225141196,0.32120668952517684,0.20219967162362062,0.05,0.002526231453446575,0.011919028172987234
30,0.002,0.002,0.002,0.29929582164752466,0.6350113990932943,0.04877144393830823,0.05,0.002526231453446575,0.011919028172987234
31,0.002,0.002,0.002,0.9400664162853577,0.19382786063609048,0.4094675399485288,0.05,0.002526231453446575,0.011919028172987234
32,0.002,0.002,0.002,0.27757185388827954,0.19635644292159748,0.5163458160409777,0.05,0.002526231453446575,0.011919028172987234
34,0.002,0.002,0.002,0.44717781945995894,0.3592447692556704,0.8317093316591403,0.05,0.002526231453446575,0.011919028172987234
33,0.002,0.002,0.002,0.45322790230248666,0.09888942072314573,0.3111813736242509,0.05,0.002526231453446575,0.011919028172987234
35,0.002,0.002,0.002,0.9625809916269092,0.881474731176135,0.22882791355869148,0.05,0.002526231453446575,0.011919028172987234
36,0.002,0.002,0.002,0.998356450509383,0.8486134471026723,0.7825595161363273,0.05,0.002526231453446575,0.011919028172987234
38,0.002,0.002,0.002,0.9941349838226137,0.6717157855011724,0.4761102094823477,0.05,0.002526231453446575,0.011919028172987234
37,0.002,0.002,0.002,0.3011063894228403,0.7290687702434993,0.7585624096638282,0.05,0.002526231453446575,0.011919028172987234
39,0.002,0.002,0.002,0.4672737027267362,0.6502548001454886,0.5752121599242952,0.05,0.002526231453446575,0.011919028172987234
40,0.002,0.002,0.002,0.6492869788344222,0.072393556107386,0.08538224606500947,0.05,0.002526231453446575,0.011919028172987234
42,0.002,0.002,0.002,0.4034503693468652,0.36498037872196887,0.39385278052444905,0.05,0.002526231453446575,0.011919028172987234
44,0.002,0.002,0.002,0.48185316612900275,0.4351731057760443,0.5687271630145951,0.05,0.002526231453446575,0.011919028172987234
41,0.002,0.002,0.002,0.5568449935098626,0.8971289291072091,0.580635580745237,0.05,0.002526231453446575,0.011919028172987234
43,0.002,0.002,0.002,0.5097535819544314,0.4853650737531837,0.8747399018302863,0.05,0.002526231453446575,0.011919028172987234
45,0.002,0.002,0.002,0.5883324508540103,0.8281271866687958,0.5690490311877421,0.05,0.002526231453446575,0.011919028172987234
47,0.002,0.002,0.002,0.2596415758153745,0.4613040379479383,0.986036908000372,0.05,0.002526231453446575,0.011919028172987234
48,0.002,0.002,0.002,0.5560540851261762,0.45732114195166984,0.4000379181922272,0.05,0.002526231453446575,0.011919028172987234
49,0.002,0.002,0.002,0.7383665496519618,0.3373541461969659,0.03846467210050481,0.05,0.002526231453446575,0.011919028172987234
46,0.002,0.002,0.002,0.8065558605422213,0.4559756134698514,0.44780467734630447,0.05,0.002526231453446575,0.011919028172987234
51,0.002,0.002,0.002,0.04163317767203481,0.14806676058891707,0.632903638683239,0.05,0.002526231453446575,0.011919028172987234
50,0.002,0.002,0.002,0.045986753777197575,0.38578124025154414,0.6056950587855185,0.05,0.002526231453446575,0.011919028172987234
54,0.002,0.002,0.002,0.013787855606820568,0.17182335853474762,0.5156881472355451,0.05,0.002526231453446575,0.011919028172987234
55,0.002,0.002,0.002,0.44833667668785027,0.2641834179816408,0.780686532440718,0.05,0.002526231453446575,0.011919028172987234
52,0.002,0.002,0.002,0.2127408816756594,0.7447395989524039,0.45791678915065503,0.05,0.002526231453446575,0.011919028172987234
53,0.002,0.002,0.002,0.11798231033238839,0.2756748653642034,0.7629339505386491,0.05,0.002526231453446575,0.011919028172987234
56,0.002,0.002,0.002,0.08531969963725688,0.3922652320446146,0.7503287286773493,0.05,0.002526231453446575,0.011919028172987234
58,0.002,0.002,0.002,0.5499436136275071,0.35964606009563993,0.2864982210871677,0.05,0.002526231453446575,0.011919028172987234
59,0.002,0.002,0.002,0.69503114290968,0.35861167672596317,0.20247045850876721,0.05,0.002526231453446575,0.011919028172987234
57,0.002,0.002,0.002,0.34077525227909655,0.9328163495976487,0.21748810251309103,0.05,0.002526231453446575,0.011919028172987234
60,0.002,0.002,0.002,0.5722345611212551,0.3908841280799372,0.24561175450862416,0.05,0.002526231453446575,0.011919028172987234
62,0.002,0.002,0.002,0.6845378816918172,0.33233768994801516,0.1590291006713238,0.05,0.002526231453446575,0.011919028172987234
61,0.002,0.002,0.002,0.7037281926851139,0.42581071082985156,0.12451871415235016,0.05,0.002526231453446575,0.011919028172987234
63,0.002,0.002,0.002,0.7041825885075927,0.15982737014873472,0.03227110290817003,0.05,0.002526231453446575,0.011919028172987234
68,0.002,0.002,0.002,0.672503969909464,0.5517758304644007,0.12248012556434888,0.05,0.002526231453446575,0.011919028172987234
64,0.002,0.002,0.002,0.7699380952045642,0.515198248292659,0.028001602636475983,0.05,0.002526231453446575,0.011919028172987234
65,0.002,0.002,0.002,0.7844111212472034,0.48682313568097535,0.1020562044197855,0.05,0.002526231453446575,0.011919028172987234
66,0.002,0.002,0.002,0.6041756332142749,0.3470645701420305,0.0591767632356573,0.05,0.002526231453446575,0.011919028172987234
67,0.002,0.002,0.002,0.6439524772743948,0.3360784974449741,0.25855757984073036,0.05,0.002526231453446575,0.011919028172987234
69,0.002,0.002,0.002,0.586185605048688,0.3653907712277442,0.025462343606198375,0.05,0.002526231453446575,0.011919028172987234
70,0.002,0.002,0.002,0.7695411870096851,0.5642126755484532,0.11921289780640378,0.05,0.002526231453446575,0.011919028172987234
71,0.002,0.002,0.002,0.9031539301382753,0.6732329739069245,0.13119320834273213,0.05,0.002526231453446575,0.011919028172987234
74,0.002,0.002,0.002,0.8528915007025691,0.4081907723091952,0.09858959773914071,0.05,0.002526231453446575,0.011919028172987234
72,0.002,0.002,0.002,0.6790469674985815,0.9176541594810151,0.09935427394168389,0.05,0.002526231453446575,0.011919028172987234
75,0.002,0.002,0.002,0.49135592231388325,0.46873643813674504,0.005383503537550637,0.05,0.002526231453446575,0.011919028172987234
76,0.002,0.002,0.002,0.14183903405376913,0.7862474267242554,0.00826235225854325,0.05,0.002526231453446575,0.011919028172987234
73,0.002,0.002,0.002,0.30114834004403745,0.19901603821489267,0.01864335227008784,0.05,0.002526231453446575,0.011919028172987234
77,0.002,0.002,0.002,0.29625996510975205,0.4477928437365962,0.002414944390717247,0.05,0.002526231453446575,0.011919028172987234
78,0.002,0.002,0.002,0.8809589566423984,0.9933919572285961,0.011713753304277572,0.05,0.002526231453446575,0.011919028172987234
79,0.002,0.002,0.002,0.2806978888749917,0.9896597542448613,0.00838118242034799,0.05,0.002526231453446575,0.011919028172987234
80,0.002,0.002,0.002,0.5514143988030964,0.27063375832759606,0.0014568832975216334,0.05,0.002526231453446575,0.011919028172987234
81,0.002,0.002,0.002,0.3018495712976863,0.019933706690255033,0.07296226314715507,0.05,0.002526231453446575,0.011919028172987234
82,0.002,0.002,0.002,0.5973038659594356,0.1286007790887351,0.08662982075678687,0.05,0.002526231453446575,0.011919028172987234
83,0.002,0.002,0.002,0.24379431274844787,0.14333877446762958,0.07871921200118043,0.05,0.002526231453446575,0.011919028172987234
84,0.002,0.002,0.002,0.8368322075374972,0.11216128995850844,0.0100638438387938,0.05,0.002526231453446575,0.011919028172987234
86,0.002,0.002,0.002,0.2802697612048324,0.02887227118108966,0.19922912447986696,0.05,0.002526231453446575,0.011919028172987234
87,0.002,0.002,0.002,0.7283314023607907,0.13151275168874887,0.0022831621520218743,0.05,0.002526231453446575,0.011919028172987234
85,0.002,0.002,0.002,0.8700851558865442,0.016845803679774018,0.013424383598179272,0.05,0.002526231453446575,0.011919028172987234
89,0.002,0.002,0.002,0.16410598563579926,0.030959988160384186,0.21294090850295178,0.05,0.002526231453446575,0.011919028172987234
88,0.002,0.002,0.002,0.3880049978170659,0.33989331362883357,0.003711840221321073,0.05,0.002526231453446575,0.011919028172987234
92,0.002,0.002,0.002,0.006093149755493285,0.2621503629458142,0.7556171753724413,0.05,0.002526231453446575,0.011919028172987234
93,0.002,0.002,0.002,0.003634357968719808,0.19586352940763185,0.6698541026371434,0.05,0.002526231453446575,0.011919028172987234
94,0.002,0.002,0.002,0.021714678007674116,0.16447873097206578,0.8491596984303214,0.05,0.002526231453446575,0.011919028172987234
91,0.002,0.002,0.002,0.05633362047271843,0.3364937198582847,0.8979392886135893,0.05,0.002526231453446575,0.011919028172987234
90,0.002,0.002,0.002,0.130546236205182,0.26858209506561215,0.7622284412572375,0.05,0.002526231453446575,0.011919028172987234
97,0.002,0.002,0.002,0.014980620734856879,0.20356563639126624,0.8779150431809657,0.05,0.002526231453446575,0.011919028172987234
96,0.002,0.002,0.002,0.00981572850558714,0.8502405570991695,0.9605415736318418,0.05,0.002526231453446575,0.011919028172987234
95,0.002,0.002,0.002,0.018407789192115772,0.20035615263652917,0.6866311285934393,0.05,0.002526231453446575,0.011919028172987234
98,0.002,0.002,0.002,0.01593835486569524,0.08180518884186098,0.42435774817796157,0.05,0.002526231453446575,0.011919028172987234
99,0.002,0.002,0.002,0.3309655670525471,0.8578280123405521,0.256973901399111,0.05,0.002526231453446575,0.011919028172987234
101,0.002,0.002,0.002,0.30018729314482995,0.5775732558441293,0.16757539895524853,0.05,0.002526231453446575,0.011919028172987234
100,0.002,0.002,0.002,0.1751618897154824,0.21810135925675034,0.2688226951545387,0.05,0.002526231453446575,0.011919028172987234
102,0.002,0.002,0.002,0.7484587928173911,0.5074405939876123,0.17001375188757484,0.05,0.002526231453446575,0.011919028172987234
103,0.002,0.002,0.002,0.4364077257655756,0.715634311093205,0.5497905912423766,0.05,0.002526231453446575,0.011919028172987234
106,0.002,0.002,0.002,0.07699999795328376,0.11082619234297465,0.9495102847065057,0.05,0.002526231453446575,0.011919028172987234
104,0.002,0.002,0.002,0.9896095103353058,0.9212184434866659,0.14749663373073804,0.05,0.002526231453446575,0.011919028172987234
105,0.002,0.002,0.002,0.7168379505472307,0.189277158866481,0.20038152736970927,0.05,0.002526231453446575,0.011919028172987234
107,0.002,0.002,0.002,0.34750024296324455,0.4879533421108705,0.6000088710559207,0.05,0.002526231453446575,0.011919028172987234
108,0.002,0.002,0.002,0.4989357216473017,0.11291266510973152,0.659533509812877,0.05,0.002526231453446575,0.011919028172987234
109,0.002,0.002,0.002,0.13254473786570053,0.2519177931750818,0.7994953927822536,0.05,0.002526231453446575,0.011919028172987234
112,0.002,0.002,0.002,0.07357951982021943,0.014634234406107493,0.9125596941885278,0.05,0.002526231453446575,0.011919028172987234
110,0.002,0.002,0.002,0.20356344793114067,0.05017524970449537,0.21963853814820045,0.05,0.002526231453446575,0.011919028172987234
113,0.002,0.002,0.002,0.4743907373588795,0.0026913464361913225,0.25230857964196796,0.05,0.002526231453446575,0.011919028172987234
111,0.002,0.002,0.002,0.041044587079367686,0.03054159514239835,0.648792231930369,0.05,0.002526231453446575,0.011919028172987234
114,0.002,0.002,0.002,0.4820946969832257,0.04868543287826203,0.1252621334355617,0.05,0.002526231453446575,0.011919028172987234
116,0.002,0.002,0.002,0.014363216039086382,0.001181979220553065,0.6004242873931032,0.05,0.002526231453446575,0.011919028172987234
117,0.002,0.002,0.002,0.0902743967955164,0.060994562278980084,0.2427727544699907,0.05,0.002526231453446575,0.011919028172987234
115,0.002,0.002,0.002,0.06587551882181068,0.015055979349300896,0.9592987704486738,0.05,0.002526231453446575,0.011919028172987234
118,0.002,0.002,0.002,0.41695288075462067,0.0844393363696663,0.044627814316794995,0.05,0.002526231453446575,0.011919028172987234
119,0.002,0.002,0.002,0.456286254976247,0.031680330439073104,0.13464072491133694,0.05,0.002526231453446575,0.011919028172987234
120,0.002,0.002,0.002,0.014672571990736424,0.10645204972097394,0.3459017844090685,0.05,0.002526231453446575,0.011919028172987234
121,0.002,0.002,0.002,0.07602806918766224,0.5788985650503278,0.6805404608135499,0.05,0.002526231453446575,0.011919028172987234
122,0.002,0.002,0.002,0.005973891698225377,0.18802185396429205,0.8196684282107649,0.05,0.002526231453446575,0.011919028172987234
123,0.002,0.002,0.002,0.033845317542242785,0.8902291999987594,0.15020035865523712,0.05,0.002526231453446575,0.011919028172987234
124,0.002,0.002,0.002,0.009793442354189684,0.06883790800068965,0.3034568306234666,0.05,0.002526231453446575,0.011919028172987234
125,0.002,0.002,0.002,0.008054789923112935,0.19091828510022657,0.4969715855655633,0.05,0.002526231453446575,0.011919028172987234
127,0.002,0.002,0.002,0.002609395506545239,0.11320065862643976,0.18839056213589578,0.05,0.002526231453446575,0.011919028172987234
126,0.002,0.002,0.002,0.0010490997119972816,0.0873841520493234,0.5363321409626562,0.05,0.002526231453446575,0.011919028172987234
129,0.002,0.002,0.002,0.011125618461332792,0.07548585126377746,0.2682958865094611,0.05,0.002526231453446575,0.011919028172987234
128,0.002,0.002,0.002,0.1069561764508657,0.169362838679891,0.795477189858008,0.05,0.002526231453446575,0.011919028172987234
130,0.002,0.002,0.002,0.4271144380872339,0.44623825830854846,0.936302718837233,0.05,0.002526231453446575,0.011919028172987234
131,0.002,0.002,0.002,0.5273882695095728,0.94676441850776,0.8309763995475987,0.05,0.002526231453446575,0.011919028172987234
133,0.002,0.002,0.002,0.22292603551773638,0.7744760983416233,0.5821073885871763,0.05,0.002526231453446575,0.011919028172987234
132,0.002,0.002,0.002,0.8609528217450337,0.2792053451515577,0.18847034856200218,0.05,0.002526231453446575,0.011919028172987234
135,0.002,0.002,0.002,0.4145523202165121,0.8212188904640411,0.5816672286096074,0.05,0.002526231453446575,0.011919028172987234
134,0.002,0.002,0.002,0.7100343280190444,0.7907514400943969,0.3619662915824955,0.05,0.002526231453446575,0.011919028172987234
137,0.002,0.002,0.002,0.6049033289419274,0.7405800527377806,0.39894685864004786,0.05,0.002526231453446575,0.011919028172987234
136,0.002,0.002,0.002,0.27132617831628303,0.8773139773931546,0.7889330799264253,0.05,0.002526231453446575,0.011919028172987234
138,0.002,0.002,0.002,0.4073000884351964,0.885396144451317,0.38012086536578304,0.05,0.002526231453446575,0.011919028172987234
139,0.002,0.002,0.002,0.7470116818212623,0.9606659559126811,0.7327451078665705,0.05,0.002526231453446575,0.011919028172987234
140,0.002,0.002,0.002,0.7466372505643588,0.5184920635294408,0.9083284092817949,0.05,0.002526231453446575,0.011919028172987234
141,0.002,0.002,0.002,0.47221391654663136,0.14725938150591636,0.20505250339937386,0.05,0.002526231453446575,0.011919028172987234
142,0.002,0.002,0.002,0.6877140435892624,0.17309700544492856,0.6742613598851542,0.05,0.002526231453446575,0.011919028172987234
143,0.002,0.002,0.002,0.2268074810864199,0.0693738118188477,0.9763978265793696,0.05,0.002526231453446575,0.011919028172987234
144,0.002,0.002,0.002,0.22587523546197896,0.056658265138566324,0.679103798863498,0.05,0.002526231453446575,0.011919028172987234
