random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
7,0.001,0.001,0.001,0.04885018866600969,0.0718898981723437,0.2601098570440651,0.05,0.001828,0.009419212941440758
4,0.001,0.001,0.001,0.00239488835195845,0.02427351975726607,0.0513351716282882,0.05,0.001828,0.009419212941440758
6,0.001,0.001,0.001,0.0020235737814086985,0.02968377704001979,0.24256707002143973,0.05,0.001828,0.009419212941440758
3,0.001,0.001,0.001,0.006914254086365368,0.14328913084840159,0.38649836947234295,0.05,0.001828,0.009419212941440758
8,0.001,0.001,0.001,0.005637729838154423,0.12205722026108859,0.23798786232310765,0.05,0.001828,0.009419212941440758
2,0.001,0.001,0.001,0.1519768475132258,0.06831003060187207,0.24035791769216286,0.05,0.001828,0.009419212941440758
1,0.001,0.001,0.001,0.00287010981003328,0.01288190543609846,0.12326175408265212,0.05,0.001828,0.009419212941440758
0,0.001,0.001,0.001,0.03321021721418464,0.031365736580801586,0.18512094358057474,0.05,0.001828,0.009419212941440758
5,0.001,0.001,0.001,0.04414959359856355,0.03665050315838479,0.4937611637886693,0.05,0.001828,0.009419212941440758
9,0.001,0.001,0.001,0.0010488470936206647,0.12932345744334148,0.10470243662626881,0.05,0.001828,0.009419212941440758
10,0.001,0.001,0.001,0.08043632490650329,0.1255009660332942,0.6016167289865085,0.05,0.001828,0.009419212941440758
14,0.001,0.001,0.001,0.39067726892211285,0.4136253804135356,0.9664770416674393,0.05,0.001828,0.009419212941440758
11,0.001,0.001,0.001,0.6370168492313528,0.37385899105140885,0.40627583312697524,0.05,0.001828,0.009419212941440758
13,0.001,0.001,0.001,0.1812025734698498,0.12192132649542226,0.9543738053893305,0.05,0.001828,0.009419212941440758
12,0.001,0.001,0.001,0.347916196596027,0.3803297979645024,0.9047033722512603,0.05,0.001828,0.009419212941440758
15,0.001,0.001,0.001,0.37568729748891605,0.4924161078707209,0.5571762743797883,0.05,0.001828,0.009419212941440758
17,0.001,0.001,0.001,0.19052538672532593,0.012465379542967059,0.6127203889869068,0.05,0.001828,0.009419212941440758
18,0.001,0.001,0.001,0.2791963722657721,0.0871372940360294,0.8491179605615637,0.05,0.001828,0.009419212941440758
16,0.001,0.001,0.001,0.5690154199796198,0.07696610083105271,0.8353900568016754,0.05,0.001828,0.009419212941440758
19,0.001,0.001,0.001,0.14220214102311907,0.36968707076608875,0.5570977667942016,0.05,0.001828,0.009419212941440758
20,0.001,0.001,0.001,0.3142118578711435,0.061883793474928214,0.6992860839655591,0.05,0.001828,0.009419212941440758
21,0.001,0.001,0.001,0.012511279738286859,0.04362808779276086,0.3848896771608329,0.05,0.001828,0.009419212941440758
22,0.001,0.001,0.001,0.4688043915751887,0.042099141501958544,0.7861558395997915,0.05,0.001828,0.009419212941440758
23,0.001,0.001,0.001,0.20472982842712362,0.028648104253191375,0.5938873898609718,0.05,0.001828,0.009419212941440758
24,0.001,0.001,0.001,0.13798494143181725,0.028284634040369332,0.9905939932195281,0.05,0.001828,0.009419212941440758
25,0.001,0.001,0.001,0.19945871472934806,0.06660289314051114,0.8522814060871641,0.05,0.001828,0.009419212941440758
28,0.001,0.001,0.001,0.00944058359871042,0.03782152315017335,0.6577519176862261,0.05,0.001828,0.009419212941440758
27,0.001,0.001,0.001,0.19691124201258625,0.05700139118124614,0.8195275327588434,0.05,0.001828,0.009419212941440758
26,0.001,0.001,0.001,0.0646132978152785,0.01993449280078178,0.9327858782042454,0.05,0.001828,0.009419212941440758
29,0.001,0.001,0.001,0.9072007574395897,0.33305674677850505,0.675776712863039,0.05,0.001828,0.009419212941440758
30,0.001,0.001,0.001,0.4103576396047297,0.5833490818147493,0.08332893867438776,0.05,0.001828,0.009419212941440758
31,0.001,0.001,0.001,0.8926427935579281,0.544969094526548,0.035735554222713774,0.05,0.001828,0.009419212941440758
33,0.001,0.001,0.001,0.572476729814909,0.9038771721484978,0.15652304748608328,0.05,0.001828,0.009419212941440758
36,0.001,0.001,0.001,0.6892409612876447,0.9456191081685751,0.13601325321710311,0.05,0.001828,0.009419212941440758
32,0.001,0.001,0.001,0.5538248538196062,0.2298757182068215,0.011047265029858401,0.05,0.001828,0.009419212941440758
35,0.001,0.001,0.001,0.8261161966535312,0.6035484693124473,0.10396699270786086,0.05,0.001828,0.009419212941440758
34,0.001,0.001,0.001,0.3001708841206989,0.2944045035571031,0.05291641443565235,0.05,0.001828,0.009419212941440758
38,0.001,0.001,0.001,0.4864982086506977,0.2692827057933519,0.6975794088019689,0.05,0.001828,0.009419212941440758
37,0.001,0.001,0.001,0.9503094920246549,0.7748075870253159,0.06375882347440512,0.05,0.001828,0.009419212941440758
