random_state,beta_v,beta_P,beta_vP,p_value_v,p_value_P,p_value_vP,alpha,var_intercept,var_residual
3,0.01,0.01,0.01,0.793156588366577,0.02004009556121777,0.7428273036268663,0.05,0.001967,0.013305959951221604
8,0.01,0.01,0.01,0.4682826618819014,0.031172924078344016,0.6872461753594975,0.05,0.001967,0.013305959951221604
6,0.01,0.01,0.01,0.6460613408138538,0.01613325995411707,0.7481296351237815,0.05,0.001967,0.013305959951221604
4,0.01,0.01,0.01,0.6537306292529736,0.1196862475827718,0.29413413746886075,0.05,0.001967,0.013305959951221604
0,0.01,0.01,0.01,0.8400096756049042,0.11482592567883208,0.3142719486049095,0.05,0.001967,0.013305959951221604
5,0.01,0.01,0.01,0.5235494705728452,0.04315007433634234,0.9038443313912587,0.05,0.001967,0.013305959951221604
2,0.01,0.01,0.01,0.8487135191224215,0.039762386607278544,0.3815345272493169,0.05,0.001967,0.013305959951221604
9,0.01,0.01,0.01,0.9095590833788514,0.06955147829828257,0.19304192075480764,0.05,0.001967,0.013305959951221604
1,0.01,0.01,0.01,0.685066972041596,0.04784943986714685,0.32895210461934565,0.05,0.001967,0.013305959951221604
7,0.01,0.01,0.01,0.20396777798484422,0.04146051887445078,0.994914290078102,0.05,0.001967,0.013305959951221604
11,0.01,0.01,0.01,0.4919013483925573,0.023136784029559813,0.14687892454852605,0.05,0.001967,0.013305959951221604
10,0.01,0.01,0.01,0.1534724933649222,0.002183852790752266,0.6441505084460735,0.05,0.001967,0.013305959951221604
15,0.01,0.01,0.01,0.5076084968977598,0.0019087640749649954,0.34007208900748553,0.05,0.001967,0.013305959951221604
16,0.01,0.01,0.01,0.2519297825950719,0.003294496540620021,0.41126673094500776,0.05,0.001967,0.013305959951221604
14,0.01,0.01,0.01,0.2973954004107495,0.0008386830554721186,0.5702711980583048,0.05,0.001967,0.013305959951221604
12,0.01,0.01,0.01,0.20036268887843467,0.000645154897899379,0.8180298713707137,0.05,0.001967,0.013305959951221604
13,0.01,0.01,0.01,0.1885530580800051,8.206440708864741e-05,0.9278301684257847,0.05,0.001967,0.013305959951221604
17,0.01,0.01,0.01,0.5353226976980641,0.01349437304030486,0.30043918181080875,0.05,0.001967,0.013305959951221604
18,0.01,0.01,0.01,0.34711992503108124,0.00313450635072244,0.2587263371591225,0.05,0.001967,0.013305959951221604
19,0.01,0.01,0.01,0.9114353016071185,0.013374054816823007,0.26359333704906396,0.05,0.001967,0.013305959951221604
21,0.01,0.01,0.01,0.014963391742200877,0.03467498849358917,0.7396289353184814,0.05,0.001967,0.013305959951221604
26,0.01,0.01,0.01,0.02674752216073764,0.00925274018373487,0.4333951083813675,0.05,0.001967,0.013305959951221604
20,0.01,0.01,0.01,0.004978469939351143,0.004310464687022235,0.6243046816914993,0.05,0.001967,0.013305959951221604
23,0.01,0.01,0.01,0.01341246916029229,0.0772381788142327,0.8275935780171058,0.05,0.001967,0.013305959951221604
27,0.01,0.01,0.01,0.013689583955734212,0.09105840885506913,0.5480712879864235,0.05,0.001967,0.013305959951221604
25,0.01,0.01,0.01,0.2025257144932867,0.03740440685367444,0.7603942057580924,0.05,0.001967,0.013305959951221604
24,0.01,0.01,0.01,0.0603588453910116,0.09665045301047308,0.8587453030893093,0.05,0.001967,0.013305959951221604
28,0.01,0.01,0.01,0.01940583931898207,0.15308802005612385,0.9596994470399485,0.05,0.001967,0.013305959951221604
22,0.01,0.01,0.01,0.015517330054028042,0.01323062259169243,0.9857350719070891,0.05,0.001967,0.013305959951221604
29,0.01,0.01,0.01,0.24445913574136968,0.07018218390037538,0.6542277058179727,0.05,0.001967,0.013305959951221604
31,0.01,0.01,0.01,0.05671323356822106,0.09098022163542076,0.6103716106218284,0.05,0.001967,0.013305959951221604
30,0.01,0.01,0.01,0.03945126221793513,0.06599911148183597,0.8381188554687237,0.05,0.001967,0.013305959951221604
32,0.01,0.01,0.01,0.017817228488423754,0.006954042515485837,0.3911649458844467,0.05,0.001967,0.013305959951221604
35,0.01,0.01,0.01,0.016440514205468968,0.025433482058018306,0.931411377329959,0.05,0.001967,0.013305959951221604
33,0.01,0.01,0.01,0.023721839190696384,0.0998963303377639,0.8779162993697127,0.05,0.001967,0.013305959951221604
34,0.01,0.01,0.01,0.030451209541801444,0.02966863681389267,0.3425641389454652,0.05,0.001967,0.013305959951221604
36,0.01,0.01,0.01,0.005718462990070584,0.01387855443982731,0.4540231528880243,0.05,0.001967,0.013305959951221604
38,0.01,0.01,0.01,0.009981613523548476,0.00917188707673196,0.8075274625506221,0.05,0.001967,0.013305959951221604
37,0.01,0.01,0.01,0.04747357252751336,0.014339355089099035,0.4909918938335954,0.05,0.001967,0.013305959951221604
39,0.01,0.01,0.01,0.16216340974732646,0.16519691603790498,0.8235968407794851,0.05,0.001967,0.013305959951221604
40,0.01,0.01,0.01,0.3683683174269713,0.14069430822832163,0.8254923336927151,0.05,0.001967,0.013305959951221604
41,0.01,0.01,0.01,0.4656046602686683,0.0317497224643671,0.5521587024943313,0.05,0.001967,0.013305959951221604
42,0.01,0.01,0.01,0.2955696079182024,0.14517799636587306,0.8901391774145311,0.05,0.001967,0.013305959951221604
44,0.01,0.01,0.01,0.7481728651202706,0.14981068604871328,0.9407022606753899,0.05,0.001967,0.013305959951221604
43,0.01,0.01,0.01,0.9107262952515567,0.1229512325370011,0.9413230190670494,0.05,0.001967,0.013305959951221604
45,0.01,0.01,0.01,0.8620155414845809,0.42288092490088214,0.6053975549273549,0.05,0.001967,0.013305959951221604
46,0.01,0.01,0.01,0.6559767220206008,0.05283498388059657,0.2891257847273989,0.05,0.001967,0.013305959951221604
48,0.01,0.01,0.01,0.7969261367546788,0.07528773746097163,0.8470232001343584,0.05,0.001967,0.013305959951221604
47,0.01,0.01,0.01,0.7148886254353133,0.12523547800808085,0.9301969419929793,0.05,0.001967,0.013305959951221604
51,0.01,0.01,0.01,0.18439130204401344,0.7651172204029355,0.2345847253884621,0.05,0.001967,0.013305959951221604
49,0.01,0.01,0.01,0.18490332952956712,0.19442802787108693,0.7099790508538855,0.05,0.001967,0.013305959951221604
50,0.01,0.01,0.01,0.6612618948841517,0.49606947694926806,0.21083643709810218,0.05,0.001967,0.013305959951221604
53,0.01,0.01,0.01,0.15711865076635384,0.41566340624474707,0.5562268568394049,0.05,0.001967,0.013305959951221604
52,0.01,0.01,0.01,0.15248695800853312,0.720760080006037,0.053954246129467996,0.05,0.001967,0.013305959951221604
56,0.01,0.01,0.01,0.7564487337387303,0.5291867929448351,0.205033200095057,0.05,0.001967,0.013305959951221604
54,0.01,0.01,0.01,0.2886086185548269,0.35425094352422126,0.3226393920777919,0.05,0.001967,0.013305959951221604
55,0.01,0.01,0.01,0.5907347272843617,0.9958390234154643,0.03804825733962006,0.05,0.001967,0.013305959951221604
59,0.01,0.01,0.01,0.6463439361749984,0.6810004870340983,0.26077628664756647,0.05,0.001967,0.013305959951221604
60,0.01,0.01,0.01,0.2754760875446668,0.4226378977586579,0.2635177865382793,0.05,0.001967,0.013305959951221604
58,0.01,0.01,0.01,0.5533408076387301,0.4039634448474547,0.3505810483395967,0.05,0.001967,0.013305959951221604
57,0.01,0.01,0.01,0.39889649506117997,0.7192096037076776,0.16548618249345748,0.05,0.001967,0.013305959951221604
61,0.01,0.01,0.01,0.6098799305660942,0.33094583917920306,0.2736194861524932,0.05,0.001967,0.013305959951221604
62,0.01,0.01,0.01,0.18547500653622961,0.5517523752784077,0.22420328810945955,0.05,0.001967,0.013305959951221604
64,0.01,0.01,0.01,0.16723101017747222,0.7383944844425221,0.07364558829715713,0.05,0.001967,0.013305959951221604
63,0.01,0.01,0.01,0.465277858481154,0.7860574052097948,0.0939546628231797,0.05,0.001967,0.013305959951221604
67,0.01,0.01,0.01,0.7020581112203854,0.23577570088060607,0.2720781777895994,0.05,0.001967,0.013305959951221604
65,0.01,0.01,0.01,0.18138348024943296,0.607436502880828,0.3611725563659236,0.05,0.001967,0.013305959951221604
66,0.01,0.01,0.01,0.5577548913448194,0.6946996870327603,0.08908589271057776,0.05,0.001967,0.013305959951221604
68,0.01,0.01,0.01,0.4936146437821012,0.9200650091016689,0.10419315589953018,0.05,0.001967,0.013305959951221604
69,0.01,0.01,0.01,0.7269492450187602,0.9075437735459143,0.2917784887079692,0.05,0.001967,0.013305959951221604
